"IndexName","Date","Total Returns Index"
"NIFTY SMALLCAP 250","16 Jul 2024","22392.36"
"NIFTY SMALLCAP 250","15 Jul 2024","22348.41"
"NIFTY SMALLCAP 250","12 Jul 2024","22267.11"
"NIFTY SMALLCAP 250","11 Jul 2024","22282.09"
"NIFTY SMALLCAP 250","10 Jul 2024","22147.62"
"NIFTY SMALLCAP 250","09 Jul 2024","22298.84"
"NIFTY SMALLCAP 250","08 Jul 2024","22245.93"
"NIFTY SMALLCAP 250","05 Jul 2024","22303.63"
"NIFTY SMALLCAP 250","04 Jul 2024","22151.59"
"NIFTY SMALLCAP 250","03 Jul 2024","22029.01"
"NIFTY SMALLCAP 250","02 Jul 2024","21832.82"
"NIFTY SMALLCAP 250","01 Jul 2024","21868.42"
"NIFTY SMALLCAP 250","28 Jun 2024","21545.32"
"NIFTY SMALLCAP 250","27 Jun 2024","21400.88"
"NIFTY SMALLCAP 250","26 Jun 2024","21521.88"
"NIFTY SMALLCAP 250","25 Jun 2024","21476.20"
"NIFTY SMALLCAP 250","24 Jun 2024","21461.06"
"NIFTY SMALLCAP 250","21 Jun 2024","21459.10"
"NIFTY SMALLCAP 250","20 Jun 2024","21466.27"
"NIFTY SMALLCAP 250","19 Jun 2024","21326.30"
"NIFTY SMALLCAP 250","18 Jun 2024","21407.80"
"NIFTY SMALLCAP 250","14 Jun 2024","21203.05"
"NIFTY SMALLCAP 250","13 Jun 2024","21021.50"
"NIFTY SMALLCAP 250","12 Jun 2024","20851.50"
"NIFTY SMALLCAP 250","11 Jun 2024","20657.62"
"NIFTY SMALLCAP 250","10 Jun 2024","20529.75"
"NIFTY SMALLCAP 250","07 Jun 2024","20262.30"
"NIFTY SMALLCAP 250","06 Jun 2024","19815.64"
"NIFTY SMALLCAP 250","05 Jun 2024","19191.54"
"NIFTY SMALLCAP 250","04 Jun 2024","18575.64"
"NIFTY SMALLCAP 250","03 Jun 2024","20070.23"
"NIFTY SMALLCAP 250","31 May 2024","19664.65"
"NIFTY SMALLCAP 250","30 May 2024","19569.19"
"NIFTY SMALLCAP 250","29 May 2024","19864.00"
"NIFTY SMALLCAP 250","28 May 2024","19847.46"
"NIFTY SMALLCAP 250","27 May 2024","20051.38"
"NIFTY SMALLCAP 250","24 May 2024","19963.43"
"NIFTY SMALLCAP 250","23 May 2024","19988.85"
"NIFTY SMALLCAP 250","22 May 2024","19940.03"
"NIFTY SMALLCAP 250","21 May 2024","19964.74"
"NIFTY SMALLCAP 250","18 May 2024","20049.95"
"NIFTY SMALLCAP 250","17 May 2024","19870.58"
